,Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
32,BBC,"👟♻️ British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",2018-03-06 13:10:12+00:00,0.4404,0.132,0.868,0.0
33,BBC,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,2018-03-06 12:30:05+00:00,0.5994,0.187,0.813,0.0
34,BBC,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",2018-03-06 10:18:16+00:00,0.7901,0.28,0.72,0.0
35,BBC,🐒❤️ This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,2018-03-06 09:00:05+00:00,0.4215,0.128,0.872,0.0
36,BBC,💍🙅 Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,2018-03-06 08:30:10+00:00,-0.2732,0.057,0.837,0.106
37,BBC,"We've all heard thunder before, but what does lightning sound like? ⚡️🤔https://t.co/3BGKK7iukQ",2018-03-06 08:03:02+00:00,0.5023,0.228,0.772,0.0
38,BBC,😂 Who actually watched the #Oscars? https://t.co/opThFzy37n,2018-03-05 19:30:07+00:00,0.0,0.0,1.0,0.0
39,BBC,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

🥦🥑🍏 Nesta McGregor investi… https://t.co/1UBRGqIOp6",2018-03-05 18:38:04+00:00,-0.8555,0.0,0.592,0.408
40,BBC,"Like father, like daughter.

😂🔥 @GordonRamsay's daughter has already mastered the art of the roast. https://t.co/0dqwntX5uj",2018-03-05 17:23:22+00:00,0.6124,0.263,0.737,0.0
41,BBC,RT @BBCFOUR: The little mouse that inspired Pikachu is actually... a rabbit. https://t.co/mHCFFXczka,2018-03-05 17:15:34+00:00,0.4472,0.211,0.789,0.0
42,BBC,"""I made a promise to our six-year-old lead actress that I would sign this speech. My hands are shaking a little bit… https://t.co/HgFpUtHDTB",2018-03-05 17:00:31+00:00,0.1531,0.105,0.818,0.077
43,BBC,"RT @BBCRadio4: As it's Hexagonal Phase approaches, a brief history of the Hitchhiker's Guide: https://t.co/Ehp9AfMyn8 #h2g2 https://t.co/9F…",2018-03-05 14:48:43+00:00,0.0,0.0,1.0,0.0
44,BBC,RT @BBCFOUR: How did Julius Caesar hide his bald patch? https://t.co/SME5Dfwifj,2018-03-05 14:43:13+00:00,-0.1779,0.0,0.855,0.145
45,BBC,"RT @BBC_Teach: Thursday is #InternationalWomensDay

Reflecting on The Representation of the People Act with your class? @gemcairn traces th…",2018-03-05 14:42:36+00:00,0.0,0.0,1.0,0.0
46,BBC,"RT @bbc5live: When you almost (accidentally) kill @Harry_Styles on the set of Dunkirk… 😳

 #Oscars https://t.co/G127l5yPkY",2018-03-05 14:11:28+00:00,-0.6621,0.0,0.76,0.24
47,BBC,"RT @cbbc: Which football clubs charge the most for their pies? Take the imPIErative quiz here ⚽️🍴 👉 https://t.co/xlSch4HVvl

#BritishPieWee…",2018-03-05 14:07:00+00:00,0.0,0.0,1.0,0.0
48,BBC,"🐶💛 Little Ivor the Staffordshire puppy is deaf, but since learning sign language his life has changed for the bette… https://t.co/vL83oBTAIL",2018-03-05 13:17:03+00:00,0.0,0.0,1.0,0.0
49,BBC,RT @BBCFood: #MeatFreeMonday + #BritishPieWeek = Lancashire cheese and onion pie 🙌 🥧🧀 https://t.co/07cH2MESmI https://t.co/G79WTJJnKr,2018-03-05 13:07:19+00:00,0.0,0.0,1.0,0.0
50,BBC,"What is the best way to cope with adult acne? @BBCWomansHour asked dermatologist @DrAnjaliMahto to find out... 
📻👉… https://t.co/DxHxgWTslT",2018-03-05 12:34:04+00:00,0.6369,0.189,0.811,0.0
51,BBC,"RT @bbcgetinspired: It was a feat some doctors said was impossible. Then Roger Bannister came along.

The first man to run a four-minute mi…",2018-03-05 12:33:12+00:00,0.0,0.0,1.0,0.0
52,BBC,"🐋🏊 What an experience!  
This is what it's like to go swimming with whales... 
#AmazingHotels https://t.co/ji90J6Olsj",2018-03-05 11:54:02+00:00,0.4199,0.157,0.843,0.0
53,BBC,"❤️ Just adorable. 
How would you react if your daughter won an Oscar? 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",2018-03-05 11:37:55+00:00,0.7845,0.33,0.67,0.0
54,BBC,"This year's #Oscars have been handed out at the 90th annual Academy Awards in Hollywood. Find out who won, and who… https://t.co/ZxfsMpDVwd",2018-03-05 11:00:11+00:00,0.7717,0.251,0.749,0.0
55,BBC,"RT @BBCCornwall: It's #StPiransDay - so cheers to everyone! #GoolPeranLowen 🌮

Bit of fun .. complete this sentence ""You know you're #Corni…",2018-03-05 10:42:57+00:00,0.8384,0.345,0.655,0.0
56,BBC,"RT @BBC6Music: 🥟 Gool Peran Lowen / Happy #StPiransDay to all of our 
‘ansom Cornish listeners. 

To celebrate Gwenno is in session for @la…",2018-03-05 10:42:50+00:00,0.8126,0.27,0.73,0.0
57,BBC,"RT @BBCRD: Available now! 📲 Download the #Civilisations Augmented Reality app @BBCTaster to explore classic art, objects, and artefacts fro…",2018-03-05 10:09:20+00:00,0.0,0.0,1.0,0.0
58,BBC,RT @BBCRadio2: What'sthe first leg of @ZoeTheBall's epic Sport Relief challenge? 🚲 She updates @achrisevans on #HardestRoadHome @sportrelie…,2018-03-05 09:58:23+00:00,0.5267,0.227,0.773,0.0
59,BBC,🎭🎬#Oscars outfits designed to dazzle - all the red carpet glamour from the 90th Academy Awards in pictures… https://t.co/iMBBXl75k0,2018-03-05 09:30:07+00:00,0.7506,0.286,0.714,0.0
60,BBC,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4,2018-03-05 09:00:05+00:00,0.0,0.0,1.0,0.0
61,BBC,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z",2018-03-05 08:30:04+00:00,0.0,0.0,1.0,0.0
62,BBC,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5",2018-03-05 08:00:04+00:00,0.0,0.0,1.0,0.0
63,BBC,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD,2018-03-04 20:11:35+00:00,0.4019,0.184,0.726,0.089
64,BBC,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL,2018-03-04 19:00:05+00:00,0.8468,0.386,0.614,0.0
65,BBC,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc,2018-03-04 18:59:39+00:00,0.4215,0.118,0.882,0.0
66,BBC,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ",2018-03-04 18:00:09+00:00,-0.3182,0.0,0.901,0.099
67,BBC,"RT @BBCWorld: What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Os…",2018-03-04 16:57:46+00:00,0.4588,0.111,0.889,0.0
68,BBC,"❤️ After her double mastectomy, this woman found a unique way of learning to love her new breasts.
👉… https://t.co/KAxQxkQEow",2018-03-04 16:30:12+00:00,0.6369,0.189,0.811,0.0
69,BBC,"He was almost a professional footballer! 😮

11 surprising things we learned from Matt Smith's Desert Island Discs:… https://t.co/TMfwinexEB",2018-03-04 15:30:29+00:00,0.3382,0.13,0.87,0.0
70,BBC,🍫 Meet the teenage chocolatier joining the ranks of Scotland's growing chocolate sector. https://t.co/FeIVc3FeZC,2018-03-04 15:00:06+00:00,0.1779,0.124,0.876,0.0
71,BBC,"Two landscape artists begin a romance whilst working at Versailles. ❤️️🌷🎬

A Little Chaos | @BBCiPlayer |… https://t.co/szKKosJ2K2",2018-03-04 14:03:03+00:00,0.0498,0.18,0.65,0.17
72,BBC,"RT @BBCSportWales: Can't get enough of this.

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Carlos…",2018-03-04 13:46:48+00:00,0.802,0.298,0.702,0.0
73,BBC,"🍿🎞 From #IsleOfDogs to #TombRaider, here are 9 films worth heading to the movies for in March. 
👉… https://t.co/y1xGGocMuA",2018-03-04 13:30:06+00:00,0.2263,0.101,0.899,0.0
74,BBC,"RT @BBCWomansHour: 👀🎥 @LadyBirdMovie's up for FIVE #Oscars this weekend 🙌 @Saoirse_Ronan talks to us about the film's appeal, her real-life…",2018-03-04 12:57:19+00:00,0.0,0.0,1.0,0.0
75,BBC,"RT @BBCSport: There are for four gold medals up for grabs at the Track Cycling World Championships today. 🙌

Watch the GB squad in action i…",2018-03-04 12:56:49+00:00,0.4939,0.118,0.882,0.0
76,BBC,"RT @BBCSport: After the shocking news of Davide Astori's death, all Serie A fixtures today have been called off.

👉 https://t.co/rmqcHfLPUX…",2018-03-04 12:56:15+00:00,-0.765,0.0,0.72,0.28
